match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895180,Bundesliga 2023/2024,Bayer Leverkusen,82,3,1,8,3,76-90+,Right Wing Back,FW,0.3966,0.0527,0.3439,5,100,27,0.7651,0.032,0.7331,0.3892,Positive,3,0
3895180,Bundesliga 2023/2024,Bayer Leverkusen,82,3,1,8,4,76-90+,Right Attacking Midfield,MF,0.3966,0.0527,0.3439,5,100,27,0.7651,0.032,0.7331,0.3892,Positive,3,1
3895180,Bundesliga 2023/2024,Eintracht Frankfurt,82,-3,0,8,5,76-90+,Center Forward,FW,0.0527,0.3966,-0.3439,1,95,41,0.032,0.7651,-0.7331,-0.3892,Negative,3,0
3895134,Bundesliga 2023/2024,Bayer Leverkusen,45,1,0,45,1,31-60,Right Center Back,DF,0.1489,0.0745,0.0744,2,143,26,0.0622,1.0377,-0.9755,-1.0499,Negative,1,2
3895134,Bundesliga 2023/2024,Hoffenheim,77,-1,1,13,1,76-90+,Right Wing Back,FW,0.3043,0.3868,-0.0825,2,71,24,0.0478,0.0844,-0.0366,0.0459,Neutral,3,0
3895134,Bundesliga 2023/2024,Hoffenheim,77,-1,1,13,2,76-90+,Right Center Midfield,MF,0.3043,0.3868,-0.0825,2,71,24,0.0478,0.0844,-0.0366,0.0459,Neutral,3,1
3895134,Bundesliga 2023/2024,Bayer Leverkusen,79,1,0,11,2,76-90+,Right Attacking Midfield,MF,0.3868,0.057,0.3298,3,88,21,0.0844,0.0478,0.0366,-0.2932,Negative,3,1
3895121,Bundesliga 2023/2024,Freiburg,66,-1,0,24,1,61-75,Left Center Back,DF,0.0215,0.3919,-0.3704,1,59,20,0.3957,0.1037,0.292,0.6624,Positive,2,2
3895121,Bundesliga 2023/2024,Freiburg,66,-1,0,24,2,61-75,Right Center Midfield,MF,0.0215,0.3919,-0.3704,1,59,20,0.3957,0.1037,0.292,0.6624,Positive,2,1
3895121,Bundesliga 2023/2024,Freiburg,80,0,0,10,3,76-90+,Left Midfield,MF,0.4171,0.4024,0.0147,5,56,16,0.1849,0.0,0.1849,0.1702,Positive,3,1
3895121,Bundesliga 2023/2024,Freiburg,80,0,0,10,4,76-90+,Left Center Midfield,MF,0.4171,0.4024,0.0147,5,56,16,0.1849,0.0,0.1849,0.1702,Positive,3,1
3895121,Bundesliga 2023/2024,Bayer Leverkusen,84,0,1,6,1,76-90+,Right Wing Back,FW,0.1037,0.4487,-0.345,2,94,18,0.0,0.1319,-0.1319,0.2131,Positive,3,0
3895121,Bundesliga 2023/2024,Bayer Leverkusen,84,0,1,6,2,76-90+,Right Attacking Midfield,MF,0.1037,0.4487,-0.345,2,94,18,0.0,0.1319,-0.1319,0.2131,Positive,3,1
3895074,Bundesliga 2023/2024,Bayer Leverkusen,45,0,0,45,1,31-60,Right Defensive Midfield,MF,0.273,0.4496,-0.1766,4,106,25,0.0034,0.8206,-0.8172,-0.6406,Negative,1,1
3895074,Bundesliga 2023/2024,Bayern Munich,60,0,1,30,1,31-60,Center Attacking Midfield,MF,0.8206,0.0034,0.8172,4,100,38,0.0515,0.0,0.0515,-0.7657,Negative,1,1
3895074,Bundesliga 2023/2024,Bayern Munich,60,0,1,30,2,31-60,Right Defensive Midfield,MF,0.8206,0.0034,0.8172,4,100,38,0.0515,0.0,0.0515,-0.7657,Negative,1,1
3895074,Bundesliga 2023/2024,Bayern Munich,69,0,1,21,3,61-75,Left Wing,FW,0.5395,0.0,0.5395,2,65,33,0.0,0.6547,-0.6547,-1.1942,Negative,2,0
3895074,Bundesliga 2023/2024,Bayer Leverkusen,81,0,0,9,2,76-90+,Right Midfield,MF,0.6547,0.0,0.6547,3,115,17,1.1478,0.2814,0.8664,0.2117,Positive,3,1
3895074,Bundesliga 2023/2024,Bayern Munich,84,0,1,6,4,76-90+,Center Forward,FW,0.0,0.6547,-0.6547,0,107,27,0.2814,1.1478,-0.8664,-0.2117,Negative,3,0
3895074,Bundesliga 2023/2024,Bayern Munich,84,0,1,6,5,76-90+,Left Defensive Midfield,MF,0.0,0.6547,-0.6547,0,107,27,0.2814,1.1478,-0.8664,-0.2117,Negative,3,1
3895139,Bundesliga 2023/2024,Union Berlin,23,-1,0,67,1,0-30,Center Back,DF,0.0,0.2435,-0.2435,0,59,33,0.0,0.5496,-0.5496,-0.3061,Negative,0,2
3895139,Bundesliga 2023/2024,Union Berlin,45,-1,0,45,2,31-60,Right Wing Back,FW,0.0217,0.1508,-0.1291,1,62,30,0.0172,0.3306,-0.3134,-0.1843,Negative,1,0
3895139,Bundesliga 2023/2024,Union Berlin,63,-2,0,27,3,61-75,Right Wing,FW,0.0172,0.373,-0.3558,1,58,49,0.0,0.4509,-0.4509,-0.0951,Neutral,2,0
3895139,Bundesliga 2023/2024,Union Berlin,77,-3,0,13,4,76-90+,Center Forward,FW,0.0,0.4509,-0.4509,0,41,42,0.0,0.1154,-0.1154,0.3355,Positive,3,0
3895139,Bundesliga 2023/2024,Union Berlin,77,-3,0,13,5,76-90+,Left Wing Back,FW,0.0,0.4509,-0.4509,0,41,42,0.0,0.1154,-0.1154,0.3355,Positive,3,0
3895139,Bundesliga 2023/2024,Bayer Leverkusen,79,3,1,11,1,76-90+,Right Wing Back,FW,0.4353,0.0,0.4353,4,143,19,0.1154,0.0,0.1154,-0.3199,Negative,3,0
